Race,Year,Date,Finishers,Latitude,Longitude,MEAN_PM25,MEDIAN_PM25,MAX_PM25,MIN_PM25,RH2M,T2M,T2M_MIN,T2M_MAX,T2MDEW,T2MWET,WS2M,WS2M_MIN,WS2M_MAX,ALLSKY_SFC_UV_INDEX,CLOUD_AMT_DAY,PRECTOTCORR
NYC Marathon,2023,11/5/23,51295,40.7128,-74.006,16.1875,16.35,18.8,12.6,80.72,12.56,9.38,16.43,9.18,10.87,2.48,1.01,5.33,0.43,39.28,0.15
Chicago Marathon,2023,10/8/23,48574,41.8781,-87.6298,3.2875,2.55,6.3,1.3,66.92,11.39,10.11,12.86,5.39,8.39,3.96,2.52,5.68,0.71,96.38,0.51
Boston Marathon,2023,4/17/23,26600,42.3601,-71.0589,5.90625,6.1,8.1,3.1,93.29,11.34,7.83,15.15,10.28,10.81,0.45,0.31,0.61,0.59,98.84,2.11
LA Marathon,2023,3/19/23,16973,34.0522,-118.2437,6.05,5.15,11.5,2.2,83.96,12.52,10.84,15.93,9.62,11.07,2.38,0.21,4.48,0.95,92.9,4.24
Honolulu Marathon,2023,12/10/23,15044,21.3069,-157.8583,4.55,4.55,4.6,4.5,81.23,25.39,23.66,27.45,21.89,23.64,4.31,3.47,4.85,1.34,44.49,0.31
Marine Corps Marathon,2023,10/29/23,13662,38.8893,-77.0502,11.575,12.25,13.9,8,81.68,20.27,16.24,26.72,16.74,18.51,1.46,0.39,2.68,0.71,71.49,0.19
Disney World Marathon,2023,1/8/23,12690,28.3852,-81.5639,NA,NA,NA,NA,81.5,16.05,8.54,24.26,12.97,14.51,1.55,0.56,2.89,0.79,18.49,0
Philadelphia Marathon,2023,11/19/23,11412,39.9526,-75.1652,9.24,8.95,13.9,5.7,71.02,5.53,-0.25,13.51,0.05,2.79,1.49,0.89,2.87,0.41,0.99,0
California International Marathon,2023,12/3/23,9183,38.5816,-121.4944,6.494444444,6.6,9.6,2.5,85.89,12.76,9.42,17.75,10.25,11.51,1.17,0.59,1.92,0.29,95.25,1.14
Grandma's Marathon,2023,6/17/23,7182,46.7833,-92.1066,11.16,12.9,15.3,2.6,75.7,16.83,11.66,22.59,12.22,14.53,1.19,0.12,2.06,1.68,85.09,0
Houston Marathon,2023,1/15/23,6105,29.7604,-95.3698,5.928571429,5.3,9.7,3.9,86.9,15.62,8.13,21.79,13.66,14.64,2.72,1.37,4.42,0.56,83.21,0
The San Francisco Marathon,2023,7/23/23,4883,37.7749,-122.4194,9.92,10,12.1,7.2,74.07,17.47,13.53,22.64,12.49,14.98,3.01,2.26,3.79,2.69,55.81,0
Cincinnati Flying Pig Marathon,2023,5/7/23,4489,39.1031,-84.512,7.79375,7.9,10.5,5.1,95.8,19.4,16.41,22.66,18.74,19.07,0.28,0.14,0.5,1.51,97.07,21.4
Indianapolis Monumental Marathon,2023,10/28/23,4214,39.7684,-86.1581,9.122222222,9.25,15.2,4.4,74.18,11.23,8.58,13.92,6.62,8.92,2.71,1.36,3.9,0.53,93.18,10.59
